Landkreis	Bundesland	Population	Cases	Deaths	Cases_Per_Million	Deaths_Per_Million	DIVI_Intensivstationen_Covid_Prozent	DIVI_Intensivstationen_Betten_belegt_Prozent	DoublingTime_Cases_Last_Week_Per_100000
Flensburg (Kreisfreie Stadt)	Schleswig-Holstein	89934	10517	54	116941	600	11.9	88.1	
Kiel (Kreisfreie Stadt)	Schleswig-Holstein	246601	25104	148	101800	600	7.4	80.9	
Lübeck (Kreisfreie Stadt)	Schleswig-Holstein	215846	24898	124	115350	574	7.0	95.3	
Neumünster (Kreisfreie Stadt)	Schleswig-Holstein	79905	9138	45	114360	563	4.0	76.0	
Dithmarschen (Kreis)	Schleswig-Holstein	133251	10458	77	78483	577	0.0	97.4	40.4
Herzogtum Lauenburg (Kreis)	Schleswig-Holstein	199152	21774	141	109333	708	11.1	100.0	
Nordfriesland (Kreis)	Schleswig-Holstein	167147	13560	97	81126	580	4.2	66.7	29.9
Ostholstein (Kreis)	Schleswig-Holstein	201487	14839	103	73647	511	4.1	91.8	
Pinneberg (Kreis)	Schleswig-Holstein	317085	38332	433	120888	1365	8.1	83.8	
Plön (Kreis)	Schleswig-Holstein	129353	7782	42	60160	324	0.0	41.7	
Rendsburg-Eckernförde (Kreis)	Schleswig-Holstein	274765	20787	80	75653	291	6.7	68.9	58.9
Schleswig-Flensburg (Kreis)	Schleswig-Holstein	202647	15053	86	74281	424	0.0	100.0	
Segeberg (Kreis)	Schleswig-Holstein	278007	30352	225	109177	809	1.2	73.2	
Steinburg (Kreis)	Schleswig-Holstein	130706	9652	57	73845	436	0.0	62.8	
Stormarn (Kreis)	Schleswig-Holstein	244989	29078	349	118691	1424	20.0	80.0	
Saarbrücken (Landkreis)	Saarland	327502	50201	598	153284	1825	12.0	84.2	
Merzig-Wadern (Landkreis)	Saarland	103471	14156	93	136811	898	16.7	58.3	
Neunkirchen (Landkreis)	Saarland	131172	16815	172	128190	1311	10.3	74.4	40.0
Saarlouis (Landkreis)	Saarland	193732	29555	209	152556	1078	8.3	75.0	
Saarpfalz-Kreis (Landkreis)	Saarland	141656	18359	163	129602	1150	4.0	89.3	
St. Wendel (Landkreis)	Saarland	86458	10070	131	116472	1515	14.3	92.9	40.7
Berlin Reinickendorf (Bezirk)	Berlin	259720	49523	368	190678	1416	16.3	88.4	
Berlin Charlottenburg-Wilmersdorf (Bezirk)	Berlin	316223	55646	358	175970	1132	16.3	88.4	
Berlin Treptow-Köpenick (Bezirk)	Berlin	272992	36991	269	135502	985	16.3	88.4	
Berlin Pankow (Bezirk)	Berlin	404187	72061	264	178286	653	16.3	88.4	
Berlin Neukölln (Bezirk)	Berlin	318509	71650	476	224954	1494	16.3	88.4	
Berlin Lichtenberg (Bezirk)	Berlin	292005	49247	314	168651	1075	16.3	88.4	
Berlin Marzahn-Hellersdorf (Bezirk)	Berlin	274076	35182	295	128365	1076	16.3	88.4	
Berlin Spandau (Bezirk)	Berlin	239374	48094	304	200915	1269	16.3	88.4	
Berlin Steglitz-Zehlendorf (Bezirk)	Berlin	291915	45367	457	155411	1565	16.3	88.4	
Berlin Mitte (Bezirk)	Berlin	374581	82993	388	221562	1035	16.3	88.4	
Berlin Friedrichshain-Kreuzberg (Bezirk)	Berlin	279210	61971	189	221951	676	16.3	88.4	
Berlin Tempelhof-Schöneberg (Bezirk)	Berlin	341296	62928	493	184379	1444	16.3	88.4	
Brandenburg an der Havel (Kreisfreie Stadt)	Brandenburg	72040	9790	136	135896	1887	14.9	83.6	
Cottbus (Kreisfreie Stadt)	Brandenburg	98693	20004	269	202689	2725	9.7	94.6	
Frankfurt (Oder) (Kreisfreie Stadt)	Brandenburg	57015	9917	168	173936	2946	30.0	90.0	
Potsdam (Kreisfreie Stadt)	Brandenburg	182112	30989	265	170164	1455	2.9	72.9	
Barnim (Landkreis)	Brandenburg	187343	31457	330	167911	1761	6.3	96.8	
Dahme-Spreewald (Landkreis)	Brandenburg	173316	31061	350	179215	2019	8.1	75.7	55.0
Elbe-Elster (Landkreis)	Brandenburg	101085	21278	363	210496	3591	0.0	68.8	21.6
Havelland (Landkreis)	Brandenburg	164693	26636	243	161731	1475	9.5	71.4	
Märkisch-Oderland (Landkreis)	Brandenburg	197195	34935	357	177159	1810	21.7	87.0	
Oberhavel (Landkreis)	Brandenburg	214234	36204	374	168992	1745	8.1	56.8	
Oberspreewald-Lausitz (Landkreis)	Brandenburg	108396	24727	367	228117	3385	11.8	100.0	
Oder-Spree (Landkreis)	Brandenburg	179276	35255	411	196652	2292	16.4	83.6	
Ostprignitz-Ruppin (Landkreis)	Brandenburg	98808	15748	185	159379	1872	11.9	88.1	
Potsdam-Mittelmark (Landkreis)	Brandenburg	217954	37061	260	170040	1192	12.5	89.1	16.8
Prignitz (Landkreis)	Brandenburg	76096	13410	219	176224	2877	35.7	57.1	
Spree-Neiße (Landkreis)	Brandenburg	113011	23929	311	211740	2751	5.3	78.9	34.5
Teltow-Fläming (Landkreis)	Brandenburg	171554	32709	274	190662	1597	20.0	80.0	
Uckermark (Landkreis)	Brandenburg	118250	20603	226	174232	1911	4.0	72.0	
Rostock (Kreisfreie Stadt)	Mecklenburg-Vorpommern	209061	22874	105	109413	502	10.1	78.9	58.9
Schwerin (Kreisfreie Stadt)	Mecklenburg-Vorpommern	95609	11959	130	125082	1359	4.2	79.2	
Mecklenburgische Seenplatte (Landkreis)	Mecklenburg-Vorpommern	258057	30965	202	119992	782	14.6	80.5	
Rostock (Landkreis)	Mecklenburg-Vorpommern	217072	27469	249	126543	1147	7.8	62.7	
Vorpommern-Rügen (Landkreis)	Mecklenburg-Vorpommern	225383	25271	185	112124	820	8.8	80.7	
Nordwestmecklenburg (Landkreis)	Mecklenburg-Vorpommern	157975	20559	102	130140	645	0.0	47.1	
Vorpommern-Greifswald (Landkreis)	Mecklenburg-Vorpommern	235773	34221	406	145143	1721	10.1	83.2	
Ludwigslust-Parchim (Landkreis)	Mecklenburg-Vorpommern	211844	28041	333	132366	1571	15.1	79.8	
Chemnitz (Kreisfreie Stadt)	Sachsen	244401	42688	782	174663	3199	6.1	88.3	
Erzgebirgskreis (Landkreis)	Sachsen	331917	77188	1494	232552	4501	5.6	62.2	28.0
Mittelsachsen (Landkreis)	Sachsen	301474	67386	970	223521	3217	3.9	62.7	
Vogtlandkreis (Landkreis)	Sachsen	223905	45804	1146	204568	5118	7.5	65.7	43.4
Zwickau (Landkreis)	Sachsen	312033	66969	1410	214621	4518	4.9	78.4	
Dresden (Kreisfreie Stadt)	Sachsen	556227	116400	1575	209267	2831	10.9	86.2	
Bautzen (Landkreis)	Sachsen	298010	74520	1338	250058	4489	12.7	63.5	
Görlitz (Landkreis)	Sachsen	250558	56150	1506	224099	6010	12.7	71.4	
Meißen (Landkreis)	Sachsen	240371	56665	897	235739	3731	15.6	68.8	
Sächsische Schweiz-Osterzgebirge (Landkreis)	Sachsen	244722	62840	1347	256781	5504	44.9	85.7	
Leipzig (Kreisfreie Stadt)	Sachsen	597493	90587	728	151611	1218	8.5	78.8	
Leipzig (Landkreis)	Sachsen	258386	52107	522	201663	2020	6.9	62.1	17.2
Nordsachsen (Landkreis)	Sachsen	197444	39949	531	202330	2689	3.6	67.3	
Dessau-Roßlau (Kreisfreie Stadt)	Sachsen-Anhalt	79354	12196	144	153691	1814	12.5	80.0	
Halle (Saale) (Kreisfreie Stadt)	Sachsen-Anhalt	237865	38538	478	162016	2009	4.3	83.5	
Magdeburg (Kreisfreie Stadt)	Sachsen-Anhalt	235775	33549	204	142292	865	9.5	95.8	18.6
Altmarkkreis Salzwedel (Landkreis)	Sachsen-Anhalt	82687	11281	126	136430	1523	6.2	56.2	45.7
Anhalt-Bitterfeld (Landkreis)	Sachsen-Anhalt	157217	26273	319	167112	2029	6.1	63.6	
Börde (Landkreis)	Sachsen-Anhalt	170567	26244	184	153863	1078	7.7	84.6	
Burgenlandkreis (Landkreis)	Sachsen-Anhalt	177590	33954	779	191193	4386	18.5	92.6	
Harz (Landkreis)	Sachsen-Anhalt	210975	29453	408	139604	1933	6.5	79.0	35.3
Jerichower Land (Landkreis)	Sachsen-Anhalt	89403	13551	176	151572	1968	17.6	94.1	
Mansfeld-Südharz (Landkreis)	Sachsen-Anhalt	133690	22301	308	166811	2303	16.7	87.5	28.8
Saalekreis (Landkreis)	Sachsen-Anhalt	183434	34570	500	188460	2725	4.5	86.4	
Salzlandkreis (Landkreis)	Sachsen-Anhalt	187457	30034	431	160218	2299	2.9	82.4	
Stendal (Landkreis)	Sachsen-Anhalt	110485	14594	261	132090	2362	9.1	77.3	
Wittenberg (Landkreis)	Sachsen-Anhalt	124185	21315	373	171639	3003	3.3	60.0	
Erfurt (Kreisfreie Stadt)	Thüringen	213692	31099	436	145531	2040	5.7	70.0	
Gera (Kreisfreie Stadt)	Thüringen	92126	15474	325	167965	3527	7.1	92.9	59.1
Jena (Kreisfreie Stadt)	Thüringen	110731	15043	127	135851	1146	2.1	87.6	
Suhl (Kreisfreie Stadt)	Thüringen	36395	6080	166	167055	4561	3.1	50.0	
Weimar (Kreisfreie Stadt)	Thüringen	65098	9430	133	144858	2043	0.0	85.7	
Eichsfeld (Landkreis)	Thüringen	99463	15668	301	157525	3026	20.0	80.0	17.6
Nordhausen (Landkreis)	Thüringen	82456	9996	94	121228	1140	7.0	75.4	
Wartburgkreis (Landkreis)	Thüringen	159937	26745	417	167222	2607	8.9	57.0	
Unstrut-Hainich-Kreis (Landkreis)	Thüringen	101698	17402	381	171114	3746	0.0	100.0	
Kyffhäuserkreis (Landkreis)	Thüringen	73522	11299	216	153681	2937	0.0	66.7	34.9
Schmalkalden-Meiningen (Landkreis)	Thüringen	124241	25588	580	205954	4668	14.3	83.3	
Gotha (Landkreis)	Thüringen	134563	24418	315	181461	2340	6.7	66.7	
Sömmerda (Landkreis)	Thüringen	69107	12227	210	176928	3038	0.0	71.4	
Hildburghausen (Landkreis)	Thüringen	62656	14908	382	237934	6096	0.0	50.0	19.2
Ilm-Kreis (Landkreis)	Thüringen	105606	20233	400	191589	3787	17.6	82.4	47.7
Weimarer Land (Landkreis)	Thüringen	82291	14073	119	171015	1446	8.4	88.0	37.1
Sonneberg (Landkreis)	Thüringen	57044	11770	267	206331	4680	0.0	37.5	
Saalfeld-Rudolstadt (Landkreis)	Thüringen	102139	19486	475	190779	4650	13.6	72.7	10.4
Saale-Holzland-Kreis (Landkreis)	Thüringen	82816	15497	195	187125	2354	0.0	75.0	16.0
Saale-Orla-Kreis (Landkreis)	Thüringen	79632	17094	289	214662	3629	50.0	75.0	
Greiz (Landkreis)	Thüringen	96668	18247	302	188759	3124	0.0	100.0	
Altenburger Land (Landkreis)	Thüringen	88356	16763	389	189721	4402	6.2	84.4	
Hamburg (Kreisfreie Stadt)	Hamburg	1852478	324404	2237	175118	1207	10.4	80.1	
Braunschweig (Kreisfreie Stadt)	Niedersachsen	248561	24515	224	98627	901	3.0	77.3	
Salzgitter (Kreisfreie Stadt)	Niedersachsen	103866	17392	128	167446	1232	7.1	92.9	
Wolfsburg (Kreisfreie Stadt)	Niedersachsen	123840	15798	129	127567	1041	9.7	87.1	
Gifhorn (Landkreis)	Niedersachsen	177227	20312	260	114610	1467	16.7	100.0	
Goslar (Landkreis)	Niedersachsen	134688	13214	161	98108	1195	16.7	95.8	
Helmstedt (Landkreis)	Niedersachsen	91518	8994	121	98275	1322	5.9	100.0	
Northeim (Landkreis)	Niedersachsen	131772	10115	89	76761	675	5.3	73.7	
Peine (Landkreis)	Niedersachsen	135844	16363	120	120454	883	6.2	81.2	
Wolfenbüttel (Landkreis)	Niedersachsen	119361	10469	111	87708	929	6.2	50.0	
Göttingen (Landkreis)	Niedersachsen	323900	23802	336	73485	1037	8.2	86.3	
Hannover (Landkreis)	Niedersachsen	1155330	155587	1291	134668	1117	7.6	88.6	
Diepholz (Landkreis)	Niedersachsen	218072	24958	122	114448	559	0.0	70.6	
Hameln-Pyrmont (Landkreis)	Niedersachsen	148580	16469	118	110842	794	6.6	78.9	
Hildesheim (Landkreis)	Niedersachsen	275464	28690	348	104151	1263	3.9	73.7	
Holzminden (Landkreis)	Niedersachsen	70207	6546	81	93238	1153	0.0	66.7	
Nienburg (Weser) (Landkreis)	Niedersachsen	121645	12746	174	104780	1430	6.2	75.0	
Schaumburg (Landkreis)	Niedersachsen	158406	16834	120	106271	757	8.3	100.0	
Celle (Landkreis)	Niedersachsen	179386	19488	105	108637	585	8.1	64.9	
Cuxhaven (Landkreis)	Niedersachsen	198826	18248	199	91778	1000	33.3	100.0	
Harburg (Landkreis)	Niedersachsen	256016	29935	146	116926	570	3.1	84.4	
