Day	2016	2016_roll_av	2017	2017_roll_av	2018	2018_roll_av	2019	2019_roll_av	2020	2020_roll_av	2021	2021_roll_av	2022	2022_roll_av	2016_2019_mean	2016_2019_mean_roll_av	2016_2019_roll_av_min	2016_2019_roll_av_max	Deaths_Covid_2020	Deaths_Covid_2020_roll_av	Deaths_Covid_2021	Deaths_Covid_2021_roll_av	Deaths_Covid_2022	Deaths_Covid_2022_roll_av
01.01.	2558	2558.0	2912	2820.6	2665	2683.7	2639	2585.9	2685	2606.6	3553	3667.4	2957.0	3151.6	2693.5	2693.5	2558.0	2820.6	0	0.0	414	817.4	47.0	134.6
02.01.	2422	2490.0	3085	2864.0	2760	2705.0	2642	2600.9	2809	2642.7	3534	3674.0	2855.0	3126.4	2727.25	2710.4	2490.0	2864.0	0	0.0	589	819.1	59.0	131.6
03.01.	2522	2500.7	2923	2876.0	2870	2712.0	2610	2600.0	2761	2658.1	3418	3642.4	2969.0	3086.4	2731.25	2717.3	2500.7	2876.0	0	0.0	496	814.6	140.0	128.4
04.01.	2743	2561.2	2973	2896.3	2865	2742.9	2782	2611.1	2765	2695.7	3719	3619.6	3012.0	3053.3	2840.75	2748.2	2561.2	2896.3	0	0.0	775	797.7	171.0	123.7
05.01.	2633	2575.6	3055	2939.7	2875	2786.4	2818	2646.1	2536	2697.6	3561	3593.0	2857.0	3005.7	2845.25	2767.6	2575.6	2939.7	0	0.0	1039	767.9	139.0	117.3
06.01.	2578	2576.0	2979	2960.4	2763	2793.7	2616	2669.4	2685	2706.9	3636	3570.9	2944.0	2966.4	2734.0	2762.0	2576.0	2960.4	0	0.0	916	715.0	102.0	107.0
07.01.	2584	2577.1	2949	2982.3	2544	2763.1	2749	2693.7	2802	2720.4	3574	3570.7	2922.0	2930.9	2706.5	2754.1	2577.1	2982.3	0	0.0	1031	751.4	101.0	108.4
08.01.	2765	2606.7	2954	2988.3	2659	2762.3	2823	2720.0	2832	2741.4	3566	3572.6	2922.0	2925.9	2800.25	2769.3	2606.7	2988.3	0	0.0	926	824.6	62.0	110.6
09.01.	2579	2629.1	3088	2988.7	2589	2737.9	2758	2736.6	2911	2756.0	3451	3560.7	2851.0	2925.3	2753.5	2773.1	2629.1	2988.7	0	0.0	603	826.6	42.0	108.1
10.01.	2585	2638.1	3256	3036.3	2805	2728.6	2750	2756.6	2886	2773.9	3342	3549.9	2885.0	2913.3	2849.0	2789.9	2638.1	3036.3	0	0.0	423	816.1	92.0	101.3
11.01.	2751	2639.3	3213	3070.6	2705	2705.7	2796	2758.6	2679	2761.6	3557	3526.7	2768.0	2878.4	2866.25	2793.5	2639.3	3070.6	0	0.0	586	789.1	107.0	92.1
12.01.	2627	2638.4	3145	3083.4	2731	2685.1	2681	2739.0	2613	2772.6	3601	3532.4	2797.0	2869.9	2796.0	2786.5	2638.4	3083.4	0	0.0	895	768.6	90.0	85.1
13.01.	2698	2655.6	3240	3120.7	2679	2673.1	2613	2738.6	2753	2782.3	3527	3516.9	2770.0	2845.0	2807.5	2797.0	2655.6	3120.7	0	0.0	967	775.9	88.0	83.1
14.01.	2581	2655.1	3079	3139.3	2602	2681.4	2787	2744.0	2826	2785.7	3583	3518.1	2881.0	2839.1	2762.25	2805.0	2655.1	3139.3	0	0.0	945	763.6	92.0	81.9
15.01.	2657	2639.7	3049	3152.9	2754	2695.0	2800	2740.7	2673	2763.0	3607	3524.0	2865.0	2831.0	2815.0	2807.1	2639.7	3152.9	0	0.0	820	748.4	60.0	81.6
16.01.	2627	2646.6	3036	3145.4	2849	2732.1	2790	2745.3	2832	2751.7	3372	3512.7	2668.0	2804.9	2825.5	2817.4	2646.6	3145.4	0	0.0	538	739.1	40.0	81.3
17.01.	2498	2634.1	3011	3110.4	2731	2721.6	2786	2750.4	2654	2718.6	3256	3500.4	2837.0	2798.0	2756.5	2804.1	2634.1	3110.4	0	0.0	324	725.0	118.0	85.0
18.01.	2624	2616.0	2956	3073.7	2831	2739.6	2776	2747.6	2656	2715.3	3477	3489.0	2820.0	2805.4	2796.75	2794.2	2616.0	3073.7	0	0.0	541	718.6	94.0	83.1
19.01.	2641	2618.0	3077	3064.0	2803	2749.9	2610	2737.4	2559	2707.6	3517	3477.0	2777.0	2802.6	2782.75	2792.3	2618.0	3064.0	0	0.0	765	700.0	97.0	84.1
20.01.	2640	2609.7	3073	3040.1	2645	2745.0	2614	2737.6	2603	2686.1	3495	3472.4	2814.0	2808.9	2743.0	2783.1	2609.7	3040.1	0	0.0	771	672.0	96.0	85.3
21.01.	2685	2624.6	3120	3046.0	2574	2741.0	2693	2724.1	2688	2666.4	3550	3467.7	2879.0	2808.6	2768.0	2783.9	2624.6	3046.0	0	0.0	712	638.7	107.0	87.4
22.01.	2668	2626.1	2963	3033.7	2763	2742.3	2742	2715.9	2684	2668.0	3572	3462.7	2770.0	2795.0	2784.0	2779.5	2626.1	3033.7	0	0.0	631	611.7	60.0	87.4
23.01.	2688	2634.9	3151	3050.1	2761	2729.7	2865	2726.6	2723	2652.4	3307	3453.4	2644.0	2791.6	2866.25	2785.3	2634.9	3050.1	0	0.0	445	598.4	55.0	89.6
24.01.	2681	2661.0	3226	3080.9	2816	2741.9	2835	2733.6	2836	2678.4	3159	3439.6	2820.0	2789.1	2889.5	2804.3	2661.0	3080.9	0	0.0	214	582.7		
25.01.	2777	2682.9	3155	3109.3	2796	2736.9	2833	2741.7	2654	2678.1	3355	3422.1	2819.0	2789.0	2890.25	2817.7	2682.9	3109.3	0	0.0	429	566.7		
26.01.	2679	2688.3	3196	3126.3	2804	2737.0	2797	2768.4	2639	2689.6	3304	3391.7	2902.0	2806.9	2869.0	2830.0	2688.3	3126.3	0	0.0	576	539.7		
27.01.	2691	2695.6	3167	3139.7	2640	2736.3	2740	2786.4	2810	2719.1	3311	3365.4	2915.0	2821.3	2809.5	2839.5	2695.6	3139.7	0	0.0	621	518.3		
28.01.	2639	2689.0	3114	3138.9	2591	2738.7	2904	2816.6	2898	2749.1	3289	3328.1	2902.0	2824.6	2812.0	2845.8	2689.0	3138.9	0	0.0	482	485.4		
29.01.	2755	2701.4	3074	3154.7	2897	2757.9	2748	2817.4	2844	2772.0	3318	3291.9	2893.0	2842.1	2868.5	2857.9	2701.4	3154.7	0	0.0	475	463.1		
30.01.	2650	2696.0	3404	3190.9	2728	2753.1	2729	2798.0	2769	2778.6	3084	3260.0	2717.0	2852.6	2877.75	2859.5	2696.0	3190.9	0	0.0	305	443.1		
31.01.	2516	2672.4	3410	3217.1	2878	2762.0	2779	2790.0	2915	2789.9	2984	3235.0	2876.0	2860.6	2895.75	2860.4	2672.4	3217.1	0	0.0	189	439.6		
01.02.	2683	2659.0	3290	3236.4	2826	2766.3	3012	2815.6	2802	2811.0	3204	3213.4	2963.0	2881.1	2952.75	2869.3	2659.0	3236.4	0	0.0	315	423.3		
02.02.	2745	2668.4	3316	3253.6	2811	2767.3	2875	2826.7	2736	2824.9	3162	3193.1	3003.0	2895.6	2936.75	2879.0	2668.4	3253.6	0	0.0	393	397.1		
03.02.	2518	2643.7	3535	3306.1	2764	2785.0	2765	2830.3	2739	2814.7	3261	3186.0	2919.0	2896.1	2895.5	2891.3	2643.7	3306.1	0	0.0	443	371.7		
04.02.	2579	2635.1	3427	3350.9	2654	2794.0	2812	2817.1	2895	2814.3	3080	3156.1	3023.0	2913.4	2868.0	2899.3	2635.1	3350.9	0	0.0	441	365.9		
05.02.	2649	2620.0	3258	3377.1	2835	2785.1	2890	2837.4	2695	2793.0	3041	3116.6	2826.0	2903.9	2908.0	2904.9	2620.0	3377.1	0	0.0	311	342.4		
06.02.	2700	2627.1	3286	3360.3	2784	2793.1	2898	2861.6	2597	2768.4	3120	3121.7	2803.0	2916.1	2917.0	2910.5	2627.1	3360.3	0	0.0	239	333.0		
07.02.	2619	2641.9	3337	3349.9	2983	2808.1	2882	2876.3	2753	2745.3	2868	3105.1			2955.25	2919.0	2641.9	3349.9	0	0.0	101	320.4		
08.02.	2663	2639.0	3232	3341.6	2887	2816.9	2847	2852.7	2721	2733.7	3062	3084.9			2907.25	2912.5	2639.0	3341.6	0	0.0	241	309.9		
