	Covid_Fälle	Covid_Fälle_Proz	Covid_Tote	Covid_Tote_Proz	Bevölkerung	Bev_Proz	ICU	ICU_Proz
0-4	96707.0	2.6						
0-9	224837.0	6.0	10.0	0.011	7589000.0	9.1	4.5	0.2
10-14	147243.0	4.0						
10-19	365140.0	9.8	10.0	0.011	7706000.0	9.3	4.5	0.2
15-19	217897.0	5.8						
20-	589977.0	15.8	20.0	0.022	15295000.0	18.4	9.0	0.4
20-24	291466.0	7.8						
20-29	578771.0	15.5	56.0	0.061	9801000.0	11.8	27.0	1.1
20-40	1153275.0	31.0	275.0	0.302	20447000.0	24.6	98.0	4.1
25-29	287305.0	7.7						
30-	1168748.0	31.4	76.0	0.083	25096000.0	30.2	36.0	1.5
30-34	300434.0	8.1						
30-39	574504.0	15.4	219.0	0.24	10646000.0	12.8	71.0	3.0
35-39	274070.0	7.4						
40-	1743252.0	46.8	295.0	0.324	35742000.0	43.1	107.0	4.5
40-44	265603.0	7.1						
40-49	534043.0	14.3	702.0	0.77	10426000.0	12.6	195.0	8.1
45-49	268440.0	7.2						
5-9	128130.0	3.4						
50-54	311488.0	8.4						
50-59	613989.0	16.5	3093.0	3.394	13474000.0	16.2	528.0	22.0
55-59	302501.0	8.1						
60-64	215840.0	5.8						
60-69	344332.0	9.2	8338.0	9.15	10302000.0	12.4	774.0	32.3
65-69	128492.0	3.4						
70-74	100928.0	2.7						
70-79	199934.0	5.4	18970.0	20.818	7686000.0	9.3	622.0	26.0
75-79	99006.0	2.7						
80+	288252.0	7.7	59727.0	65.544	5390000.0	6.5	170.0	7.1
80-84	121581.0	3.3						
80-89	212900.0	5.7	40485.0	44.428				
85-89	91319.0	2.5						
90+	75352.0	2.0	19242.0	21.116				
