	Covid_Fälle	Covid_Fälle_Proz	Covid_Tote	Covid_Tote_Proz	Bevölkerung	Bev_Proz	ICU	ICU_Proz
0-4	758570.0	3.5						
0-9	2462062.0	11.4	20.0	0.046	7589000.0	9.1	11.5	0.6
10-14	1775956.0	8.2						
10-19	3334891.0	15.4	20.0	0.046	7706000.0	9.3	11.5	0.6
15-19	1558935.0	7.2						
20-	5796953.0	26.8	40.0	0.092	15295000.0	18.4	23.0	1.1
20-24	1604158.0	7.4						
20-29	3237100.0	15.0	42.0	0.097	9801000.0	11.8	38.0	1.9
20-40	6956240.0	32.2	290.0	0.668	20447000.0	24.6	130.0	6.4
25-29	1632942.0	7.5						
30-	9034053.0	41.8	82.0	0.189	25096000.0	30.2	61.0	3.0
30-34	1855760.0	8.6						
30-39	3719140.0	17.2	248.0	0.571	10646000.0	12.8	92.0	4.5
35-39	1863380.0	8.6						
40-	12753193.0	59.0	330.0	0.76	35742000.0	43.1	153.0	7.5
40-44	1733709.0	8.0						
40-49	3150657.0	14.6	661.0	1.522	10426000.0	12.6	185.0	9.1
45-49	1416948.0	6.6						
5-9	1703492.0	7.9						
50-54	1491516.0	6.9						
50-59	2891503.0	13.4	2169.0	4.993	13474000.0	16.2	401.0	19.7
55-59	1399987.0	6.5						
60-64	982363.0	4.5						
60-69	1530218.0	7.1	4909.0	11.301	10302000.0	12.4	561.0	27.6
65-69	547855.0	2.5						
70-74	391336.0	1.8						
70-79	660160.0	3.1	8655.0	19.924	7686000.0	9.3	459.0	22.6
75-79	268824.0	1.2						
80+	614594.0	2.8	26716.0	61.501	5390000.0	6.5	274.0	13.5
80-84	297405.0	1.4						
80-89	482907.0	2.2	18215.0	41.931				
85-89	185502.0	0.9						
90+	131687.0	0.6	8501.0	19.57				
