Date	sequences_total	Delta (B.1.617.2-like)	Omicron (BA.1-like)	Alpha (B.1.1.7-like)	Omicron (BA.2-like)	Delta (AY.4-like)	Delta (AY.4.2-like)	Beta (B.1.351-like)	Omicron (Unassigned)	B.1.1.318-like	Gamma (P.1-like)
2021-01-26	5.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
2021-01-28	3.0	0.0	0.0	1.5	0.0	0.0	0.0	1.0	0.0	0.0	0.0
2021-01-29	15.0	0.0	0.0	12.0	0.0	0.0	0.0	2.7	0.0	0.0	0.0
2021-01-31	13.2	0.0	0.0	10.8	0.0	0.0	0.0	2.0	0.0	0.0	0.0
2021-02-01	15.6	0.0	0.0	13.0	0.0	0.0	0.0	2.0	0.0	0.2	0.0
2021-02-03	17.2	0.0	0.0	14.3	0.0	0.0	0.0	2.3	0.0	0.2	0.0
2021-02-04	18.9	0.0	0.0	16.4	0.0	0.0	0.0	2.0	0.0	0.1	0.0
2021-02-05	30.6	0.0	0.0	28.0	0.0	0.0	0.0	2.3	0.0	0.1	0.0
2021-02-06	34.7	0.0	0.0	31.7	0.0	0.0	0.0	2.6	0.0	0.1	0.0
2021-02-08	39.4	0.0	0.0	35.4	0.0	0.0	0.0	3.3	0.0	0.3	0.0
2021-02-09	48.9	0.0	0.0	43.0	0.0	0.0	0.0	5.3	0.0	0.3	0.0
2021-02-10	47.1	0.0	0.0	41.6	0.0	0.0	0.0	5.1	0.0	0.1	0.0
2021-02-11	66.1	0.0	0.0	57.0	0.0	0.0	0.0	8.1	0.0	0.1	0.0
2021-02-12	84.0	0.0	0.0	74.6	0.0	0.0	0.0	8.3	0.0	0.1	0.0
2021-02-13	73.4	0.0	0.0	64.4	0.0	0.0	0.0	7.9	0.0	0.1	0.0
2021-02-14	71.1	0.0	0.0	62.7	0.0	0.0	0.0	7.4	0.0	0.1	0.0
2021-02-15	110.3	0.0	0.0	99.1	0.0	0.0	0.0	8.9	0.0	0.3	0.0
2021-02-16	107.6	0.0	0.0	97.1	0.0	0.0	0.0	7.9	0.0	0.3	0.0
2021-02-17	115.1	0.0	0.0	104.6	0.0	0.0	0.0	7.7	0.0	0.3	0.0
2021-02-18	108.1	0.0	0.0	99.9	0.0	0.0	0.0	5.1	0.0	0.3	0.3
2021-02-19	91.0	0.0	0.0	83.0	0.0	0.0	0.0	5.0	0.0	0.3	0.3
2021-02-20	96.7	0.0	0.0	86.1	0.0	0.0	0.0	7.6	0.0	0.3	0.3
2021-02-22	176.4	0.0	0.0	160.0	0.0	0.0	0.0	11.3	0.0	0.3	0.4
2021-02-23	291.4	0.0	0.0	272.6	0.0	0.0	0.0	14.3	0.0	0.1	1.0
2021-02-24	311.9	0.0	0.0	292.4	0.0	0.0	0.0	15.1	0.0	0.1	1.0
2021-02-25	381.9	0.0	0.0	359.6	0.0	0.0	0.0	17.4	0.0	0.1	1.0
2021-02-26	430.7	0.0	0.0	405.1	0.0	0.0	0.0	20.0	0.0	0.3	1.0
2021-02-27	463.4	0.0	0.0	436.6	0.0	0.0	0.0	21.1	0.0	0.4	1.0
2021-02-28	494.9	0.0	0.0	469.6	0.0	0.0	0.0	19.1	0.0	0.4	1.1
2021-03-01	541.4	0.0	0.0	516.7	0.0	0.0	0.0	18.4	0.0	0.4	1.6
2021-03-02	440.9	0.0	0.0	419.1	0.0	0.0	0.0	15.9	0.0	0.3	1.3
2021-03-03	471.1	0.0	0.0	449.6	0.0	0.0	0.0	14.1	0.0	0.3	1.3
2021-03-04	438.4	0.0	0.0	416.6	0.0	0.0	0.0	13.6	0.0	0.3	1.3
2021-03-05	507.0	0.0	0.0	486.4	0.0	0.0	0.0	12.1	0.0	0.4	1.1
2021-03-06	529.9	0.0	0.0	506.9	0.0	0.0	0.0	14.7	0.0	0.3	1.1
2021-03-07	571.4	0.0	0.0	543.6	0.0	0.0	0.0	16.9	0.0	0.7	2.0
2021-03-08	582.9	0.0	0.0	556.7	0.0	0.0	0.0	16.3	0.0	1.1	1.6
2021-03-09	547.3	0.0	0.0	523.6	0.0	0.0	0.0	14.4	0.0	1.1	1.3
2021-03-10	573.3	0.0	0.0	549.1	0.0	0.0	0.0	15.9	0.0	1.3	1.3
2021-03-11	628.0	0.0	0.0	598.9	0.0	0.0	0.0	20.3	0.0	2.0	2.1
2021-03-12	643.9	0.0	0.0	610.1	0.0	0.0	0.0	23.6	0.0	1.9	2.6
2021-03-13	604.6	0.0	0.0	574.6	0.0	0.0	0.0	19.9	0.0	1.9	2.6
2021-03-14	621.1	0.0	0.0	591.6	0.0	0.0	0.0	20.1	0.0	2.3	1.7
2021-03-15	588.6	0.0	0.0	554.9	0.0	0.0	0.0	21.4	0.0	3.0	1.6
2021-03-16	640.3	0.0	0.0	602.0	0.0	0.0	0.0	24.4	0.0	3.4	1.6
2021-03-17	668.6	0.0	0.0	623.4	0.0	0.0	0.0	27.9	0.0	3.9	2.1
2021-03-18	678.3	0.0	0.0	628.0	0.0	0.0	0.0	32.7	0.0	3.1	3.3
2021-03-19	763.0	0.0	0.0	712.4	0.0	0.0	0.0	33.4	0.0	3.0	3.4
2021-03-20	785.3	0.0	0.0	734.1	0.0	0.0	0.0	33.7	0.0	3.1	3.4
2021-03-21	795.1	0.0	0.0	746.4	0.0	0.0	0.0	32.7	0.0	2.4	3.6
2021-03-22	859.0	0.0	0.0	809.4	0.0	0.0	0.0	33.9	0.0	2.6	3.7
2021-03-23	963.6	0.0	0.0	915.3	0.0	0.0	0.0	32.9	0.0	2.4	3.7
