Date	Anzahl	Dose1	Dose2	Dose3	Dose4	Anzahl_roll_av	Dose1_roll_av	Dose2_roll_av	Dose3_roll_av	Dose4_roll_av
2020-12-27	24421	24421	0.0	0.0	0.0	24421.0	24421.0	0.0	0.0	0.0
2020-12-28	18007	18007	0.0	0.0	0.0	21214.0	21214.0	0.0	0.0	0.0
2020-12-29	50055	50055	0.0	0.0	0.0	30827.7	30827.7	0.0	0.0	0.0
2020-12-30	64066	64066	0.0	0.0	0.0	39137.2	39137.2	0.0	0.0	0.0
2020-12-31	49939	49939	0.0	0.0	0.0	41297.6	41297.6	0.0	0.0	0.0
2021-01-01	25672	25672	0.0	0.0	0.0	38693.3	38693.3	0.0	0.0	0.0
2021-01-02	47803	47803	0.0	0.0	0.0	39994.7	39994.7	0.0	0.0	0.0
2021-01-03	22573	22573	0.0	0.0	0.0	39730.7	39730.7	0.0	0.0	0.0
2021-01-04	46333	46333	0.0	0.0	0.0	43777.3	43777.3	0.0	0.0	0.0
2021-01-05	52478	52478	0.0	0.0	0.0	44123.4	44123.4	0.0	0.0	0.0
2021-01-06	63084	63084	0.0	0.0	0.0	43983.1	43983.1	0.0	0.0	0.0
2021-01-07	54908	54908	0.0	0.0	0.0	44693.0	44693.0	0.0	0.0	0.0
2021-01-08	62875	62875	0.0	0.0	0.0	50007.7	50007.7	0.0	0.0	0.0
2021-01-09	60598	60598	0.0	0.0	0.0	51835.6	51835.6	0.0	0.0	0.0
2021-01-10	35845	35845	0.0	0.0	0.0	53731.6	53731.6	0.0	0.0	0.0
2021-01-11	68768	68768	0.0	0.0	0.0	56936.6	56936.6	0.0	0.0	0.0
2021-01-12	79316	79316	0.0	0.0	0.0	60770.6	60770.6	0.0	0.0	0.0
2021-01-13	112437	112437	0.0	0.0	0.0	67821.0	67821.0	0.0	0.0	0.0
2021-01-14	84123	84123	0.0	0.0	0.0	71994.6	71994.6	0.0	0.0	0.0
2021-01-15	91865	90882	983.0	0.0	0.0	76136.0	75995.6	140.4	0.0	0.0
2021-01-16	58098	56854	1244.0	0.0	0.0	75778.9	75460.7	318.1	0.0	0.0
2021-01-17	47841	30757	17084.0	0.0	0.0	77492.6	74733.9	2758.7	0.0	0.0
2021-01-18	83312	67552	15760.0	0.0	0.0	79570.3	74560.1	5010.1	0.0	0.0
2021-01-19	119879	83804	36075.0	0.0	0.0	85365.0	75201.3	10163.7	0.0	0.0
2021-01-20	132947	78999	53948.0	0.0	0.0	88295.0	70424.4	17870.6	0.0	0.0
2021-01-21	105640	64530	41110.0	0.0	0.0	91368.9	67625.4	23743.4	0.0	0.0
2021-01-22	102408	68780	33628.0	0.0	0.0	92875.0	64468.0	28407.0	0.0	0.0
2021-01-23	87092	40772	46320.0	0.0	0.0	97017.0	62170.6	34846.4	0.0	0.0
2021-01-24	47835	25705	22130.0	0.0	0.0	97016.1	61448.9	35567.3	0.0	0.0
2021-01-25	91049	52342	38707.0	0.0	0.0	98121.4	59276.0	38845.4	0.0	0.0
2021-01-26	98705	51357	47348.0	0.0	0.0	95096.6	54640.7	40455.9	0.0	0.0
2021-01-27	109637	51183	58454.0	0.0	0.0	91766.6	50667.0	41099.6	0.0	0.0
2021-01-28	92744	46999	45745.0	0.0	0.0	89924.3	48162.6	41761.7	0.0	0.0
2021-01-29	107829	49886	57943.0	0.0	0.0	90698.7	45463.4	45235.3	0.0	0.0
2021-01-30	88165	34670	53495.0	0.0	0.0	90852.0	44591.7	46260.3	0.0	0.0
2021-01-31	57243	25808	31435.0	0.0	0.0	92196.0	44606.4	47589.6	0.0	0.0
2021-02-01	120501	58397	62104.0	0.0	0.0	96403.4	45471.4	50932.0	0.0	0.0
2021-02-02	132885	65525	67360.0	0.0	0.0	101286.3	47495.4	53790.9	0.0	0.0
2021-02-03	163115	64625	98490.0	0.0	0.0	108926.0	49415.7	59510.3	0.0	0.0
